ds,t,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,seasonal_lower,seasonal_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
2017-03-31,1.054673721340388,5.597955883749331,6.611327160615174,8.106921627533183,5.597906008775512,5.597998030118752,1.7257784090440509,1.7257784090440509,0.439259743191987,0.439259743191987,0.439259743191987,1.2865186658520638,1.2865186658520638,1.2865186658520638,1.7257784090440507,7.323734292793382
2017-04-01,1.056437389770723,5.6084391082300495,2.8329613307197934,4.354381630056497,5.608385892470742,5.608485093096,-1.9912470149207373,-1.9912470149207373,-3.2967131732668777,-3.2967131732668777,-3.2967131732668777,1.3054661583461407,1.3054661583461407,1.3054661583461407,-1.991247014920737,3.6171920933093125
2017-04-02,1.0582010582010581,5.618922332710767,6.503228936890182,8.045781535719748,5.618865739050818,5.61897015403392,1.647205645920636,1.647205645920636,0.3309903892022137,0.3309903892022137,0.3309903892022137,1.3162152567184224,1.3162152567184224,1.3162152567184224,1.6472056459206361,7.266127978631403
2017-04-03,1.0599647266313934,5.629405557191486,6.88236696198356,8.452441440176448,5.629345699515705,5.629456483055647,2.00270249580646,2.00270249580646,0.6831527081963321,0.6831527081963321,0.6831527081963321,1.3195497876101276,1.3195497876101276,1.3195497876101276,2.0027024958064596,7.632108052997946
2017-04-04,1.0617283950617284,5.639888781672203,6.681417102691203,8.242613759816207,5.63982711889752,5.639941348732707,1.905856052685796,1.905856052685796,0.5895221238585303,0.5895221238585303,0.5895221238585303,1.3163339288272653,1.3163339288272653,1.3163339288272653,1.9058560526857957,7.545744834357999
2017-04-05,1.0634920634920635,5.650372006152922,6.8031227674187384,8.314840113230806,5.650308358738002,5.650427511044519,1.8949247753502543,1.8949247753502543,0.5874350215095425,0.5874350215095425,0.5874350215095425,1.3074897538407118,1.3074897538407118,1.3074897538407118,1.8949247753502543,7.5452967815031755
2017-04-06,1.0652557319223985,5.66085523063364,6.8867097795459,8.425692406030045,5.66078808647766,5.660917434191877,1.9603277562956436,1.9603277562956436,0.6663531873111409,0.6663531873111409,0.6663531873111409,1.293974568984503,1.293974568984503,1.293974568984503,1.9603277562956438,7.621182986929284
2017-04-07,1.0670194003527338,5.671338455114359,6.616368801326472,8.140290347937098,5.671268126585543,5.6714029622809,1.71601834364265,1.71601834364265,0.43925974319332184,0.43925974319332184,0.43925974319332184,1.276758600449328,1.276758600449328,1.276758600449328,1.71601834364265,7.3873567987570095
2017-04-08,1.0687830687830688,5.6818216795950764,2.874350525011752,4.423242928246771,5.6817475007044145,5.681888010294518,-2.039909615856099,-2.039909615856099,-3.2967131732670265,-3.2967131732670265,-3.2967131732670265,1.2568035574109278,1.2568035574109278,1.2568035574109278,-2.0399096158560988,3.6419120637389777
2017-04-09,1.0705467372134039,5.692304904075795,6.540268060320898,7.998368799084008,5.692227645503489,5.692373854849867,1.5660329431314797,1.5660329431314797,0.3309903892035601,0.3309903892035601,0.3309903892035601,1.2350425539279195,1.2350425539279195,1.2350425539279195,1.5660329431314797,7.258337847207274
2017-04-10,1.072310405643739,5.702788128556513,6.841473184508551,8.373666284022049,5.702708562842236,5.7028589802724134,1.8955145253887011,1.8955145253887011,0.6831527081917054,0.6831527081917054,0.6831527081917054,1.2123618171969959,1.2123618171969959,1.2123618171969959,1.8955145253887014,7.598302653945215
2017-04-11,1.0740740740740742,5.713271353037232,6.71036503773856,8.302985470088215,5.713188476855893,5.71334592110716,1.7791066690675927,1.7791066690675927,0.5895221238630518,0.5895221238630518,0.5895221238630518,1.1895845452045413,1.1895845452045413,1.1895845452045413,1.779106669067593,7.492378022104825
2017-04-12,1.0758377425044092,5.7237545775179495,6.697974327647248,8.345192000911444,5.723668603288043,5.723833939283288,1.7548922263762008,1.7548922263762008,0.5874350215096928,0.5874350215096928,0.5874350215096928,1.167457204866508,1.167457204866508,1.167457204866508,1.7548922263762008,7.478646803894151
2017-04-13,1.0776014109347443,5.734237801998668,6.7579037017494015,8.389100283840593,5.734148615712782,5.734319792201029,1.8129916719466859,1.8129916719466859,0.6663531873155051,0.6663531873155051,0.6663531873155051,1.146638484631181,1.146638484631181,1.146638484631181,1.812991671946686,7.547229473945354
2017-04-14,1.0793650793650793,5.744721026479386,6.490921855082112,8.088446665969423,5.744628598030152,5.744805417394171,1.566950778746617,1.566950778746617,0.4392597431948971,0.4392597431948971,0.4392597431948971,1.1276910355517198,1.1276910355517198,1.1276910355517198,1.5669507787466168,7.311671805226003
2017-04-15,1.0811287477954146,5.755204250960105,2.854013527049797,4.342680494086594,5.755109248401876,5.755291827304422,-2.1856371189048116,-2.1856371189048116,-3.2967131732670554,-3.2967131732670554,-3.2967131732670554,1.1110760543622442,1.1110760543622442,1.1110760543622442,-2.185637118904811,3.569567132055294
2017-04-16,1.0828924162257496,5.7656874754408225,6.4209862705794984,7.953090172941571,5.765588555511761,5.765777370328339,1.4281410726049795,1.4281410726049795,0.3309903892049068,0.3309903892049068,0.3309903892049068,1.0971506834000728,1.0971506834000728,1.0971506834000728,1.4281410726049797,7.193828548045802
2017-04-17,1.0846560846560847,5.776170699921541,6.78201264345781,8.373254820942611,5.776069091403789,5.776264876735132,1.769320835665905,1.769320835665905,0.6831527081926977,0.6831527081926977,0.6831527081926977,1.0861681274732073,1.0861681274732073,1.0861681274732073,1.769320835665905,7.545491535587446
2017-04-18,1.0864197530864197,5.786653924402258,6.662644570094085,8.273520219003723,5.786548549095358,5.786750498043302,1.6678024428425344,1.6678024428425344,0.5895221238560028,0.5895221238560028,0.5895221238560028,1.0782803189865318,1.0782803189865318,1.0782803189865318,1.6678024428425346,7.454456367244793
2017-04-19,1.088183421516755,5.797137148882978,6.65411911936026,8.226282008840364,5.7970285808407445,5.797236541737712,1.6609779230653021,1.6609779230653021,0.587435021505182,0.587435021505182,0.587435021505182,1.0735429015601201,1.0735429015601201,1.0735429015601201,1.6609779230653021,7.4581150719482805
2017-04-20,1.08994708994709,5.8076203733636955,6.747854245957537,8.378383724785783,5.807506854617953,5.807722874005841,1.7382754378144198,1.7382754378144198,0.6663531873089313,0.6663531873089313,0.6663531873089313,1.0719222505054886,1.0719222505054886,1.0719222505054886,1.73827543781442,7.545895811178116
2017-04-21,1.091710758377425,5.818103597844414,6.586919423647583,8.086967684330324,5.817986203803637,5.818211395575781,1.5125639502195312,1.5125639502195312,0.4392597431905364,0.4392597431905364,0.4392597431905364,1.0733042070289949,1.0733042070289949,1.0733042070289949,1.5125639502195312,7.3306675480639445
